"po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
"4","1","4","6","6","7","7","7","6","7","6","7","6","6","7","7","7","7","7","7","6","yes",5,1,2023-08-03,"man",43
"5","5","5","5","5","4","5","6","4","5","4","4","6","6","3","5","4","5","3","3","4","yes",16,3,2023-10-04,"women",40
"4","6","5","3","5","4","7","6","5","5","5","6","5","6","6","7","6","5","6","7","5","no",12,2,2023-10-29,"women",53
"6","5","7","6","5","6","7","4","7","6","6","6","6","6","6","5","7","7","6","6","7","yes",19,4,2023-02-10,"women",28
"6","1","4","4","3","5","6","5","5","4","7","6","6","6","4","2","3","3","4","6","6","yes",14,2,2023-09-08,"man",50
"6","7","6","7","6","7","4","3","5","2","7","6","7","7","6","4","2","6","6","3","6","yes",21,4,2022-12-09,"women",40
"4","5","3","3","2","6","7","5","7","7","6","7","5","4","4","4","4","6","5","5","7","yes",15,2,2022-08-26,"man",36
"5","5","6","7","5","6","6","5","6","7","6","4","6","6","6","5","6","7","7","7","7","yes",13,3,2023-01-08,"women",41
"6","5","6","5","5","3","7","7","5","3","4","2","4","3","4","4","5","5","6","5","2","yes",17,5,2023-11-04,"women",36
"5","5","3","6","4","6","4","4","5","6","5","7","3","4","4","4","6","4","4","5","3","yes",15,2,2023-04-13,"women",23
"5","4","5","6","6","7","4","3","5","7","4","6","5","4","6","7","5","5","3","6","3","no",8,1,2022-04-25,"women",38
"7","7","7","4","7","7","7","6","7","6","6","7","6","7","7","6","6","5","7","7","7","no",15,4,2022-08-28,"man",35
"5","5","6","5","5","5","3","5","4","4","4","5","5","5","6","5","5","3","6","6","4","yes",14,2,2022-08-02,"man",43
"7","5","6","6","5","4","6","4","4","7","5","3","5","6","7","6","5","5","7","6","7","yes",16,3,2023-10-24,"women",35
"5","6","3","4","4","4","4","6","6","4","4","3","4","1","6","3","6","5","5","3","6","yes",13,3,2022-12-31,"man",30
"5","5","4","3","4","6","4","6","4","7","3","5","6","5","3","5","3","4","6","5","7","yes",18,4,2023-04-07,"man",31
"6","3","5","5","7","6","6","6","5","6","3","3","6","5","6","7","4","6","4","6","7","no",17,5,2023-02-11,"man",54
"5","4","6","3","2","3","5","4","5","6","3","4","4","5","1","4","3","3","6","7","7","yes",15,1,2022-09-23,"man",18
"6","7","6","6","3","5","7","5","6","5","5","7","7","6","7","7","7","7","6","4","7","yes",26,6,2022-02-09,"women",40
"7","6","6","7","7","6","7","5","6","7","6","6","4","6","3","4","5","6","6","5","5","yes",17,2,2022-12-31,"women",40
"7","6","7","7","6","6","4","6","6","5","6","6","3","7","7","7","5","6","6","7","6","yes",22,5,2023-11-10,"women",52
"6","4","6","5","5","6","4","5","6","3","5","2","4","3","6","6","6","4","3","5","5","yes",16,3,2022-05-17,"women",38
"5","7","6","4","5","5","4","3","6","5","2","4","4","2","6","5","4","6","4","5","6","no",18,5,2023-05-27,"man",42
"4","6","5","7","7","7","6","7","6","6","7","4","6","6","7","7","7","7","7","6","5","yes",9,2,2023-01-25,"women",31
"7","7","7","5","5","7","4","6","7","5","7","7","7","6","5","5","6","6","6","7","5","yes",13,2,2022-10-25,"women",35
"6","7","6","6","6","5","3","5","5","2","3","3","2","1","6","6","7","4","5","7","6","yes",21,5,2023-07-24,"women",27
"7","5","6","7","7","7","5","6","4","7","5","3","6","5","3","5","5","6","5","5","6","no",20,5,2023-06-08,"women",48
"5","6","6","6","5","4","4","5","4","6","7","6","7","6","4","6","7","3","7","6","7","no",15,4,2022-05-10,"women",25
"7","7","6","7","6","5","6","7","7","6","7","5","6","6","6","7","6","5","6","7","6","yes",11,2,2022-07-07,"man",35
"6","6","7","7","6","7","7","6","6","7","7","7","7","7","6","7","6","7","6","7","7","yes",19,6,2023-12-01,"man",47
"6","4","6","6","3","7","3","4","4","6","6","5","6","5","5","4","5","5","4","4","6","yes",16,2,2023-04-27,"women",52
"5","5","6","4","6","4","7","7","4","5","5","7","4","6","6","7","6","6","6","6","7","yes",17,5,2023-12-21,"man",32
"6","4","5","6","7","6","5","7","7","7","5","6","5","6","7","5","6","5","5","4","7","yes",14,3,2022-05-06,"man",39
"6","7","7","3","6","4","4","3","4","5","5","2","7","3","6","5","5","5","7","4","6","yes",19,4,2022-01-12,"women",35
"4","6","7","6","7","6","7","7","7","3","6","5","5","4","7","6","7","6","6","6","7","yes",19,6,2022-12-11,"man",57
"3","3","5","5","7","7","5","6","6","3","5","6","7","6","4","2","4","4","6","3","6","yes",9,1,2023-08-15,"man",36
"7","5","5","6","7","5","5","7","3","6","5","5","5","7","7","6","7","5","6","7","6","yes",16,4,2023-03-10,"man",40
"5","4","5","6","6","5","6","6","6","6","6","6","5","5","3","4","3","5","5","5","4","yes",17,3,2022-09-23,"women",51
"7","6","6","1","5","4","5","4","2","7","6","5","7","6","7","4","5","4","3","3","6","no",24,6,2022-05-27,"women",36
"7","6","6","6","6","6","6","7","5","7","5","6","7","5","5","2","4","3","7","6","4","yes",20,5,2022-08-11,"women",54
"5","5","6","6","7","5","4","5","5","6","5","6","7","6","2","4","2","4","6","7","5","yes",15,5,2022-11-27,"man",59
"6","7","7","5","6","7","3","2","5","7","3","4","4","7","4","6","4","5","5","5","6","no",19,4,2022-09-01,"man",28
"7","5","7","5","6","6","6","5","6","6","4","5","6","4","4","7","6","3","7","5","6","no",15,2,2023-12-06,"women",37
"7","6","7","6","7","7","5","6","7","3","4","3","5","3","7","6","6","6","4","5","6","no",23,4,2022-10-08,"man",39
"7","2","7","7","6","5","7","5","7","7","4","7","5","6","7","7","7","7","7","7","7","yes",18,5,2022-06-23,"women",47
"4","5","5","7","6","6","7","5","6","4","4","6","6","4","6","6","5","5","6","7","6","yes",20,5,2022-10-08,"man",53
"2","4","5","7","6","5","7","4","4","7","2","4","5","6","6","5","6","6","6","7","7","unsure",17,5,2023-11-01,"women",38
"7","6","6","7","7","6","6","7","7","7","5","6","7","6","6","7","7","6","6","5","7","yes",22,6,2022-06-14,"man",33
"5","7","7","6","7","7","6","5","6","7","7","7","6","7","6","6","7","6","5","6","5","yes",23,5,2023-05-23,"women",41
"5","7","3","7","7","6","7","6","6","7","6","6","5","7","6","7","6","7","6","7","7","no",14,3,2023-12-12,"women",24
"3","5","5","7","7","6","5","2","5","6","6","5","6","6","6","4","6","7","4","6","3","no",13,4,2022-05-28,"man",38
"6","6","4","5","6","4","6","5","5","6","6","7","7","7","7","5","6","6","5","6","3","yes",21,6,2022-05-25,"man",40
"6","7","6","5","4","5","5","5","5","6","5","5","5","5","5","5","4","5","4","5","5","yes",21,4,2023-04-14,"women",42
"6","6","4","5","6","7","5","6","5","3","6","5","7","7","2","6","2","5","3","5","5","no",12,3,2022-12-21,"women",47
"6","6","4","6","5","6","7","7","7","6","4","5","5","4","7","7","7","6","6","7","7","yes",23,5,2022-10-25,"women",33
"3","4","6","5","4","6","7","6","7","6","6","5","4","5","3","3","6","4","6","7","5","yes",18,4,2022-12-02,"man",22
"7","7","7","7","7","7","6","7","7","7","5","4","3","5","5","6","7","6","7","6","6","yes",19,4,2022-06-18,"women",22
"6","5","5","5","5","5","3","3","3","5","5","4","4","3","5","5","5","4","5","4","4","yes",20,5,2022-02-15,"women",38
"5","5","3","6","6","5","4","3","4","6","7","7","5","6","7","6","6","6","7","6","6","yes",11,5,2022-11-02,"women",52
"7","6","5","5","4","5","6","6","7","7","7","5","6","5","7","5","6","5","7","6","7","yes",16,5,2022-11-19,"man",33
"6","5","6","6","6","6","6","5","6","7","7","6","7","6","5","7","4","5","7","7","7","yes",15,3,2023-03-25,"man",30
"4","5","5","4","6","6","6","5","3","4","2","3","6","4","4","5","5","5","2","4","6","yes",18,2,2023-09-15,"man",28
"5","5","5","6","5","6","5","7","6","7","6","6","6","7","7","7","4","7","6","5","6","yes",16,3,2022-07-31,"women",52
"4","6","6","6","4","7","7","4","5","3","3","5","2","5","6","4","6","2","5","3","4","no",14,3,2023-02-07,"man",43
"5","6","6","4","5","4","7","7","5","6","4","7","3","6","3","4","4","4","6","5","5","yes",19,3,2022-05-21,"women",28
"5","7","7","5","6","5","7","6","3","5","3","5","5","4","4","4","6","6","5","7","7","yes",17,4,2023-06-23,"women",34
"7","7","7","5","6","5","5","3","5","5","6","5","6","7","5","7","3","6","7","7","6","yes",24,3,2022-06-30,"women",52
"7","7","7","7","6","7","7","7","7","6","7","7","7","7","6","7","7","6","7","6","6","yes",19,3,2022-02-16,"man",31
"3","5","5","7","6","6","7","7","7","5","6","7","6","6","6","5","6","6","6","7","7","no",16,4,2022-01-24,"man",30
"7","7","7","7","6","7","6","6","6","5","7","7","7","5","6","6","7","5","6","4","5","yes",18,5,2022-07-28,"man",37
"6","6","7","6","6","5","4","6","5","5","7","5","6","7","6","5","5","5","6","6","4","no",18,4,2022-11-16,"women",38
"4","5","6","7","2","5","6","6","4","4","7","7","6","6","6","4","6","6","7","6","7","no",15,5,2022-04-20,"man",54
"5","5","6","3","3","5","5","3","5","4","4","7","6","7","5","6","5","2","6","7","6","yes",19,3,2022-08-07,"women",43
"7","6","5","7","3","6","7","7","7","6","7","5","7","7","7","7","6","7","5","3","7","yes",21,6,2023-01-05,"women",36
"6","7","5","6","7","6","5","5","5","5","5","5","7","4","5","4","4","6","2","1","3","yes",19,3,2022-06-11,"man",32
"7","7","7","5","5","7","7","7","6","7","7","6","7","7","7","6","6","7","7","7","5","yes",27,7,2023-05-23,"women",42
"5","6","4","7","6","7","7","6","7","5","7","4","6","7","6","7","7","7","6","6","7","yes",24,4,2022-09-05,"women",54
"3","5","5","6","4","5","3","7","3","3","5","5","3","4","5","6","4","7","6","4","6","yes",23,5,2022-05-30,"women",42
"7","6","5","6","7","6","3","5","5","6","6","6","7","6","6","7","7","7","3","5","6","yes",16,4,2023-01-26,"man",56
"4","4","4","4","5","4","6","5","6","4","7","4","4","5","7","5","7","6","6","4","4","yes",12,1,2022-01-23,"man",34
"3","3","4","4","5","3","3","5","6","6","4","5","7","5","5","5","6","6","3","4","3","no",9,3,2023-02-19,"women",33
"6","6","5","4","4","6","6","6","5","4","6","6","5","2","4","5","4","5","7","7","6","yes",21,5,2022-05-18,"man",59
"7","7","7","5","5","6","4","7","3","7","7","5","6","4","4","6","6","4","6","6","6","yes",20,4,2022-05-19,"women",50
"4","5","6","6","5","6","5","7","6","4","2","5","4","2","3","6","5","4","2","5","4","yes",13,3,2023-09-18,"man",46
"4","5","5","6","6","6","7","6","6","6","7","7","6","6","6","6","5","6","7","6","6","yes",18,6,2022-04-04,"women",36
"7","7","6","5","2","3","5","5","3","6","6","5","5","1","5","6","6","6","6","7","7","yes",19,3,2022-05-31,"man",32
"6","7","7","6","7","4","5","6","6","7","6","6","7","6","7","7","7","6","7","7","7","yes",12,2,2022-07-11,"man",55
"7","5","4","6","7","7","5","5","4","4","5","2","5","6","5","3","7","6","5","5","4","yes",17,4,2023-02-09,"women",36
"3","5","4","5","3","6","7","5","7","4","2","5","3","3","4","5","4","7","6","7","6","yes",2,1,2022-04-09,"man",50
"2","4","6","5","6","4","6","3","4","7","5","3","3","5","5","7","5","7","4","5","3","yes",14,2,2023-07-19,"man",29
"5","6","7","7","5","4","5","4","5","4","4","5","6","7","5","5","6","4","6","6","7","yes",26,5,2022-03-29,"women",41
"7","6","6","6","7","7","7","6","7","6","7","7","6","7","7","7","7","7","7","6","6","no",18,4,2023-11-14,"man",28
"3","4","5","6","7","7","5","6","7","6","4","4","4","5","4","6","5","6","5","6","6","yes",12,3,2022-11-30,"women",39
"4","5","7","7","7","7","6","6","7","6","6","6","7","7","7","7","7","7","6","5","4","yes",20,3,2023-02-27,"women",43
"7","7","6","7","6","4","6","6","5","6","7","6","7","7","5","6","5","6","7","6","5","yes",26,5,2023-02-13,"women",55
"4","5","5","7","5","6","3","6","5","5","7","6","6","6","4","4","4","4","5","6","4","yes",6,1,2022-09-29,"women",47
"6","6","6","5","6","5","7","7","7","5","5","6","4","5","7","7","7","6","5","4","3","yes",21,6,2022-11-14,"women",25
"6","5","4","6","6","3","6","7","7","6","4","4","5","6","7","4","5","5","5","5","7","yes",15,3,2023-07-20,"man",29
"7","5","6","6","7","6","5","4","2","5","7","7","6","5","5","6","5","6","3","6","3","yes",18,6,2022-06-02,"women",29
"5","3","3","6","5","3","6","3","3","3","5","5","7","4","5","4","5","7","6","5","6","yes",7,4,2023-04-17,"man",26
"2","5","7","7","7","7","6","7","7","5","5","6","4","4","6","6","6","7","6","3","4","yes",10,1,2022-12-16,"man",31
"3","2","4","4","4","6","3","6","5","4","5","5","5","5","2","5","6","4","3","3","4","yes",7,4,2022-05-06,"women",48
"2","4","3","7","6","7","7","5","5","4","6","5","6","7","7","7","7","7","4","7","5","yes",8,2,2022-01-12,"man",40
"4","6","5","3","5","2","7","3","6","6","6","3","7","6","6","6","7","6","5","7","3","yes",11,4,2022-12-01,"man",27
"7","4","3","7","6","6","3","6","7","6","6","6","6","4","3","4","6","5","6","3","5","no",18,4,2022-09-26,"women",30
"7","5","6","5","5","5","6","7","7","5","4","5","4","4","6","7","6","5","7","6","7","no",21,6,2023-12-11,"women",32
"4","3","5","3","4","5","4","3","4","6","4","2","5","5","5","6","4","4","3","4","4","yes",12,3,2022-01-03,"women",49
"1","5","2","6","7","7","6","5","2","5","4","5","6","4","1","4","5","5","6","6","3","yes",14,3,2022-01-27,"man",32
"4","5","6","7","6","6","4","6","4","7","3","5","4","6","3","3","3","4","5","6","6","yes",13,1,2022-02-25,"women",32
"6","4","4","6","6","7","5","7","5","5","6","6","6","5","5","3","3","6","3","2","3","yes",19,3,2022-08-18,"women",35
"6","6","7","4","5","5","3","2","2","1","7","6","5","3","7","5","6","6","6","4","7","yes",17,4,2022-05-24,"man",31
"4","4","5","5","6","6","5","6","6","5","3","4","5","4","7","6","7","4","4","2","4","yes",8,1,2023-08-20,"women",19
"4","6","5","5","4","5","4","3","3","6","4","4","7","6","1","3","3","2","5","4","4","yes",12,2,2023-06-21,"women",24
"6","4","5","5","7","6","3","2","4","5","1","3","2","2","5","5","5","6","4","3","3","yes",13,4,2023-03-08,"man",40
"5","6","6","5","6","5","3","3","3","4","6","5","6","6","5","5","5","4","5","6","6","no",13,5,2022-08-09,"man",64
"6","5","5","7","3","7","5","6","5","5","6","6","7","6","5","1","4","5","5","6","6","yes",14,3,2022-09-10,"women",27
"7","7","7","5","6","5","4","6","7","5","6","3","4","5","7","7","6","6","5","6","5","yes",22,4,2023-08-09,"man",51
"5","4","4","6","4","4","4","4","6","3","4","6","5","4","4","4","6","5","3","5","6","yes",13,4,2022-08-16,"women",46
"6","5","4","3","5","3","4","5","7","6","6","4","3","3","6","6","5","5","2","3","4","no",10,5,2023-11-28,"women",28
"5","7","6","5","3","5","4","6","7","6","3","5","6","7","6","5","3","4","6","6","6","no",20,6,2023-05-23,"women",34
"7","6","6","6","6","6","5","5","7","7","4","7","6","6","6","7","6","7","7","7","7","yes",15,5,2023-02-28,"women",28
"5","6","4","6","6","6","6","7","5","7","3","5","5","6","6","4","5","5","7","6","7","yes",17,5,2023-12-08,"man",53
"5","5","6","6","7","6","5","7","5","6","5","6","4","4","7","5","7","3","6","6","5","yes",17,5,2023-08-26,"women",37
"7","6","7","7","5","5","6","6","7","6","6","6","6","4","6","3","5","5","6","6","3","yes",22,5,2023-04-10,"man",38
"5","3","7","6","3","4","5","6","5","3","6","7","7","6","5","6","4","3","5","6","7","no",15,3,2022-02-09,"women",35
"6","5","5","4","6","2","5","5","5","5","6","6","5","6","4","5","5","5","5","6","5","yes",11,1,2022-12-14,"women",32
"6","5","6","5","6","6","7","7","7","5","7","6","7","6","3","5","4","6","7","7","6","yes",16,4,2022-02-15,"women",41
"4","4","5","6","3","5","5","6","6","6","4","7","6","2","7","4","3","7","4","4","4","yes",8,1,2022-10-01,"man",40
"2","3","3","5","7","4","5","3","4","7","6","5","6","6","4","6","7","3","6","4","5","yes",6,1,2023-01-15,"man",49
"5","5","5","7","6","5","7","7","6","7","5","4","2","5","7","6","5","7","5","7","6","yes",19,5,2022-07-02,"women",54
"5","5","4","5","4","6","5","3","6","6","4","3","4","6","5","5","3","7","5","3","6","yes",18,5,2023-05-27,"man",34
"7","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","6","7","5","7","yes",17,3,2022-09-29,"women",39
"5","4","4","5","5","6","4","5","4","5","3","2","2","3","5","6","5","3","3","6","5","no",8,3,2023-10-23,"man",50
"6","6","7","5","5","5","5","2","5","5","6","7","6","6","5","5","5","6","3","5","6","no",21,6,2023-03-04,"women",38
"3","4","4","7","6","6","5","4","6","4","3","4","4","2","6","5","2","4","7","7","6","no",7,3,2023-11-21,"women",24
"7","7","6","6","7","7","5","6","7","7","6","7","7","6","5","6","5","7","5","4","5","yes",16,5,2022-10-28,"man",54
"7","6","7","6","5","7","5","7","7","7","5","5","6","4","5","4","5","7","6","4","4","yes",15,3,2023-06-10,"man",37
"2","6","6","3","6","4","7","5","3","4","4","3","4","4","7","4","5","6","2","4","5","yes",17,6,2022-03-21,"man",59
"5","7","6","5","6","6","7","7","6","5","7","6","6","7","6","6","7","4","5","6","5","no",16,4,2023-05-15,"man",34
"7","7","7","7","6","4","6","7","6","5","4","3","6","2","7","6","7","7","7","2","6","yes",25,4,2022-07-05,"women",41
"5","4","5","6","6","6","7","7","6","6","5","5","7","7","7","7","7","7","7","5","7","unsure",12,2,2022-06-08,"women",51
"6","3","7","3","5","6","4","5","5","4","4","4","3","2","4","5","5","3","5","6","5","yes",16,4,2022-10-04,"women",30
"6","7","5","4","5","4","6","6","7","5","6","6","6","7","5","6","5","6","5","5","7","yes",22,6,2023-03-07,"man",39
"3","3","4","4","6","5","4","4","5","3","5","5","5","5","6","6","7","5","6","4","5","no",11,2,2022-12-31,"women",34
"7","7","7","5","4","4","7","5","4","3","5","5","6","6","4","6","4","3","6","6","6","yes",16,5,2022-03-12,"women",35
"6","7","6","5","6","5","7","7","7","5","7","6","7","7","7","7","7","7","7","7","6","yes",26,6,2023-08-15,"women",37
"7","6","7","7","7","7","6","7","7","7","7","6","7","4","7","7","7","7","7","5","6","yes",26,8,2022-04-27,"man",44
"4","2","5","6","5","6","4","4","5","4","6","5","5","4","4","5","1","3","5","4","6","yes",15,3,2023-09-02,"women",40
"6","6","4","6","6","7","7","5","6","7","7","7","6","7","5","6","6","6","6","5","3","yes",21,3,2023-05-29,"man",28
"5","7","6","5","5","4","5","6","5","5","5","5","6","6","5","5","7","6","7","7","7","yes",14,3,2022-08-14,"women",43
"3","4","6","2","2","3","6","7","6","7","6","7","7","7","5","7","6","2","5","5","7","yes",15,4,2022-02-14,"man",41
"3","3","2","6","4","4","6","5","5","5","4","4","5","6","4","4","4","6","5","4","4","yes",5,3,2023-03-19,"women",36
"7","6","6","4","5","7","7","7","7","4","6","4","6","7","5","5","5","6","4","6","5","yes",16,3,2022-06-17,"women",47
"2","3","3","4","6","5","3","5","1","6","6","6","4","4","7","5","3","5","3","5","4","yes",9,1,2022-12-27,"man",48
"6","7","6","5","7","6","4","4","7","6","4","6","5","5","4","4","6","3","7","5","7","yes",19,3,2022-01-26,"women",24
"7","7","5","5","5","7","6","7","3","5","7","7","6","7","7","6","6","7","5","7","6","yes",26,9,2023-06-12,"women",39
"4","5","3","6","6","5","7","5","7","5","6","6","6","6","6","7","7","7","6","6","5","yes",16,2,2022-06-13,"women",44
"4","6","5","7","5","3","7","4","5","7","7","3","5","5","4","6","4","6","5","3","3","yes",15,3,2023-09-29,"women",44
"6","7","4","6","5","5","7","7","6","6","7","7","7","6","6","6","7","7","4","6","6","yes",14,3,2022-08-27,"women",26
"5","5","4","7","7","7","7","7","7","7","5","5","5","6","6","6","7","6","6","7","7","yes",14,3,2022-07-07,"women",38
"5","4","4","7","7","6","7","7","6","7","6","2","4","5","6","5","6","6","6","6","4","yes",8,2,2023-03-27,"man",28
"6","6","6","7","7","3","5","6","5","5","7","6","6","7","6","4","3","6","3","5","4","yes",17,5,2022-07-22,"man",35
"7","7","6","6","7","4","7","7","7","7","5","3","5","5","6","4","7","7","7","7","5","no",21,5,2022-11-23,"man",45
"6","7","6","4","2","3","6","6","5","6","4","3","5","3","7","6","5","6","7","6","6","yes",22,5,2023-11-03,"man",46
"6","4","5","4","6","4","7","4","7","7","6","4","6","4","5","4","5","2","3","4","5","yes",19,3,2022-01-10,"women",34
"7","7","6","6","5","6","6","6","5","5","6","7","7","7","6","6","5","5","6","7","6","no",22,7,2023-06-12,"man",29
"3","6","7","2","2","2","5","4","6","6","5","4","3","5","6","7","4","6","4","4","5","no",18,5,2023-06-19,"women",41
"6","2","7","5","5","6","6","4","6","3","4","5","5","5","6","5","5","6","6","5","6","yes",15,2,2022-05-02,"women",41
"6","7","6","5","3","5","4","5","5","4","4","5","5","5","2","5","6","5","7","7","7","yes",18,5,2023-03-15,"women",60
"7","6","7","7","7","6","7","7","6","7","6","5","5","5","7","7","7","7","7","7","7","yes",21,3,2023-07-31,"man",35
"7","7","7","5","7","7","7","7","7","7","7","7","7","6","7","7","5","6","7","7","3","yes",30,5,2022-11-22,"women",35
"4","5","4","6","4","5","5","4","7","6","5","4","6","5","5","6","5","6","5","4","6","yes",15,3,2023-03-21,"man",51
"6","5","4","5","6","5","6","5","4","5","6","5","6","5","4","5","6","7","6","4","5","yes",24,5,2022-05-18,"women",40
"4","5","3","4","7","7","6","4","5","7","6","4","6","3","5","7","5","7","6","5","6","yes",17,4,2022-07-19,"women",39
"3","5","5","7","6","5","7","6","6","6","5","7","7","7","3","3","5","1","6","6","5","no",11,4,2022-07-01,"women",50
"7","6","5","4","4","5","6","7","6","4","6","7","6","5","6","5","7","6","5","6","6","yes",17,5,2023-11-11,"man",18
"6","4","6","4","6","3","5","7","6","7","6","6","6","4","6","6","5","6","5","6","5","no",16,3,2022-01-18,"women",54
"2","5","6","5","4","5","5","6","4","6","6","6","6","7","5","5","6","6","7","5","4","yes",12,2,2023-12-18,"women",42
"4","6","4","7","7","7","4","7","5","5","5","5","3","4","6","7","7","5","7","6","7","yes",16,5,2022-06-17,"man",35
"7","6","6","5","7","5","4","6","4","3","6","6","7","5","6","4","6","7","5","6","6","no",19,3,2023-08-17,"women",31
"4","4","4","4","6","6","6","4","4","4","4","4","5","2","5","7","6","5","3","3","5","yes",12,3,2023-09-30,"women",61
"4","6","7","6","6","5","7","7","7","7","6","7","7","6","6","6","6","4","7","7","6","yes",14,3,2022-12-13,"man",42
"7","6","6","5","4","3","7","5","7","6","6","7","7","7","7","6","7","6","7","4","7","yes",10,1,2022-05-08,"man",34
"5","5","6","5","6","6","6","6","6","5","6","6","6","6","3","4","5","6","6","7","5","yes",13,4,2023-04-23,"women",40
"5","4","5","6","6","4","4","5","7","6","5","6","3","5","6","5","4","4","5","7","3","no",13,2,2023-03-12,"man",49
"4","5","5","4","3","4","5","6","5","5","6","6","6","6","6","7","5","4","6","4","5","no",16,3,2022-01-28,"women",32
"6","5","7","3","4","3","5","4","5","3","4","3","5","2","5","7","5","4","6","6","7","yes",13,5,2022-12-15,"man",39
"7","6","6","6","6","6","7","7","6","5","6","5","7","5","5","5","6","5","5","7","7","no",18,5,2023-10-03,"women",22
"5","6","4","2","3","3","4","5","6","4","5","5","5","6","3","5","4","4","6","4","6","no",19,4,2022-08-02,"women",41
"5","3","3","6","4","6","4","6","2","5","4","4","4","4","4","5","6","2","6","5","5","yes",4,1,2023-06-06,"man",34
"5","6","4","7","7","5","5","6","7","6","6","7","6","4","5","6","5","5","7","6","6","no",19,3,2023-05-25,"women",22
"6","4","3","5","4","4","7","6","5","6","3","4","1","3","5","3","3","3","4","5","4","no",19,5,2023-06-07,"man",47
"6","7","7","7","7","7","7","7","7","6","7","5","6","6","2","3","4","4","7","7","6","no",30,4,2022-06-19,"women",46
"7","7","7","7","7","6","5","7","7","5","7","7","7","7","7","6","7","7","4","6","2","yes",22,5,2022-04-20,"women",49
"6","4","3","6","4","4","3","5","3","5","7","5","6","5","6","5","5","6","5","7","7","yes",17,2,2023-03-22,"women",33
"6","3","4","5","4","7","5","4","4","3","6","4","6","6","6","4","4","3","6","5","5","no",16,3,2022-06-22,"women",40
"6","5","5","4","4","5","5","6","7","5","4","3","4","5","5","6","4","4","6","4","7","yes",6,3,2023-02-10,"women",44
"7","7","7","7","7","7","7","7","7","7","7","6","7","6","7","5","7","7","7","5","6","yes",22,6,2022-08-24,"man",50
"6","4","6","3","3","5","6","5","4","3","4","5","3","6","4","6","5","4","6","3","6","yes",14,3,2022-01-21,"women",41
"7","6","4","6","6","5","6","4","6","5","3","5","4","7","5","6","7","7","6","5","6","no",20,5,2022-06-26,"women",36
"6","7","6","4","4","7","4","4","4","4","6","5","5","7","6","3","3","5","7","6","7","no",17,3,2022-02-01,"women",36
"1","4","5","3","4","3","6","6","4","5","4","5","4","4","3","4","6","5","6","5","4","yes",9,3,2022-07-11,"women",26
"7","6","7","7","7","7","7","7","7","7","7","5","7","7","7","7","7","7","5","5","6","yes",17,5,2023-04-12,"women",36
"4","3","4","6","5","5","3","4","4","5","7","6","6","6","4","6","5","2","7","4","5","yes",13,4,2022-11-13,"women",41
"4","7","5","3","3","4","5","4","6","4","4","5","2","2","5","5","4","7","4","5","5","yes",16,3,2023-05-12,"man",40
"6","3","6","5","7","6","7","7","6","5","5","4","6","6","6","6","7","7","4","4","5","yes",17,5,2022-08-09,"man",46
"6","7","7","7","5","7","6","7","7","6","7","6","7","7","7","7","7","7","6","4","7","yes",19,3,2023-04-22,"women",39
"6","5","5","6","5","6","6","3","5","7","2","6","3","4","3","6","5","3","3","5","6","yes",19,6,2023-10-20,"women",32
"5","3","4","4","5","5","4","5","2","5","6","6","5","6","6","7","6","7","5","4","4","yes",15,2,2023-05-29,"women",35
"6","7","6","7","7","6","4","5","5","7","3","6","5","5","3","7","5","7","7","6","6","yes",25,6,2022-07-24,"man",40
"7","6","6","7","6","5","4","4","6","5","6","7","6","7","4","4","5","3","5","3","6","yes",12,5,2023-01-22,"women",41
"5","7","7","7","5","7","7","5","5","7","4","6","4","4","5","6","7","5","4","2","5","yes",22,5,2023-11-20,"man",50
"2","6","4","6","5","4","3","5","4","5","6","4","4","3","3","2","5","2","5","4","6","yes",13,5,2022-11-18,"women",45
"5","1","3","4","5","5","7","7","5","4","4","3","4","6","7","5","5","5","6","6","5","yes",12,3,2022-04-15,"women",34
"4","5","5","6","6","5","6","5","4","1","6","5","4","7","5","4","6","6","6","6","6","yes",16,4,2022-11-26,"women",43
"6","7","7","3","2","6","7","5","7","5","6","6","5","4","7","2","5","5","5","5","7","yes",18,3,2023-03-17,"women",26
"3","7","6","2","5","3","7","6","5","4","4","4","4","3","2","5","3","5","7","6","5","no",16,4,2023-07-10,"women",41
"7","7","7","5","6","5","5","5","7","6","5","6","5","5","6","3","4","5","6","7","7","yes",27,8,2022-08-31,"man",49
"4","5","5","7","5","6","5","4","5","6","7","7","6","5","6","6","7","5","5","6","6","yes",13,3,2023-10-04,"women",27
"7","7","7","6","6","6","2","4","4","6","4","6","3","5","3","4","6","6","4","4","5","yes",29,4,2023-03-08,"women",38
"7","7","7","5","6","4","6","5","4","5","6","3","4","5","4","7","6","7","4","5","4","unsure",16,5,2023-03-08,"women",46
"6","3","3","7","7","7","6","4","4","7","5","6","7","7","7","6","6","5","7","7","7","yes",15,1,2022-05-13,"women",30
"4","5","6","2","6","4","7","5","7","2","5","4","6","7","4","7","5","4","4","6","7","yes",10,3,2022-03-19,"man",43
"5","5","5","6","4","3","6","5","6","3","5","5","4","7","4","5","3","2","5","7","5","no",18,6,2022-08-24,"man",40
